time,chat
00,어허..
00,makiyHello makiyHello makiyHello makiyHello makiyHello
00,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
00,시작부터 신나네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
00,막하
00,반가워용 '- ^
00,makiyHello makiyHello makiyHello makiyHello
00,막하
00,막하
00,막하
00,막하
00,막하
00,막하
00,막하
00,큰일남
00,반가워용 '- ^
01,막하
01,막카
01,막하
01,막하
01,막하~
01,막하~~
01,막하
01,노래 선곡 좋다~!!
01,막하
01,배경은 지금의 상태를 나타낸 건가요
01,막하
01,반가워용 '- ^
01,!노래
01,노래무엇
01,!업타임
01,방송 업타임: 0 시간 01 분 47 초
01,뽕짝
01,노래무엇
01,막하
01,반가워용 '- ^
01,막하
02,막하
02,마카마카
02,관심을 누구한테 바라는거냥
02,막하
02,반가워용 '- ^
02,막하
02,막하
02,노래 씐나누
02,막하
02,반가워용 '- ^
02,ㅋㅋㅋ
03,노래 뭐에요?
03,ㅋㅋㅋㅋㅋㅋㅋㅋ
03,사나마나 subscribed at Tier 1. They've subscribed for 10 months! 막이한테 10개월을 주라주라~
03,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
03,막함ㄱ하
03,ㅋㅋㅋㅋ
03,이쒀요~~~~~~~~~~
03,다비이모 주라 맞나?
03,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
03,ㅋㅋㅋㅋㅋ 살아있으시누?
03,makiyFuku ㅋㅋ
03,오전방송 이마기 오늘도 오후에 켜다
03,ㅋㅋ
03,!업타임
03,방송 업타임: 0 시간 03 분 49 초
03,????
03,?
03,오전이네
03,오후인데요??
03,막하
03,반가워용 '- ^
03,?
03,누맘대로 오전이누?
03,늘 있는 일이야
03,오전?
03,?
03,새벽 3시 45분 ㄷㄷㄷ
03,.......????????
03,?????????
03,ㅋㅋㅋ
03,엡나데
03,?? 오후인뎁쇼
03,에반데
04,캐나다에 사시나요?
04,시간개념보소
04,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
04,에반데
04,거기딱 시차 13시간인데
04,막하
04,막하 ㅋㅋㅋㅋ
04,???
04,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
04,막터스텔라 에반데 ㅋㅋㅋ
04,PrideRise PridePog PrideRise PridePog
04,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
04,아침?
04,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
04,아닌데?
04,아침같은 오후
04,ㅋㅋㅋㅋ
04,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
04,암튼 아침임???
04,이야.. 딴세상사시내 ㅋㅋ
04,나만의 작은 아침
04,막이의 시간은 거꾸로 간다 ㅋ
04,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 막이님한테는 아침 ㅋㅋㅋㅋ
04,막타임
04,스트리머들 말하는 내가 일어난시간이 아침이다 이건가?
04,??????????
04,?
04,?
04,??????????????
04,막하
04,반가워용 '- ^
04,이야..
04,??
04,????
04,??
04,3시간 채워야지 무슨소리야
04,본업 어케됨?
04,ㅋㅋ
04,3분할???
04,협테 펴
04,?
04,ㅋㅋㅋㅋㅋㅋㅋㅋ
04,chamchamTT18 chamchamTT18 chamchamTT18 chamchamTT18
04,???
04,그렇지 우리 막이님이 아침이라면 아침인거지 ^^7
04,어허
04,ㅋㅋㅋㅋㅋㅋㅋㅋ
04,아
04,3 분할 ㅅㄱ
04,ㄹㅇㅋㅋ
04,jjonhiTa jjonhiBle
04,고럼
04,3분할방송ㅋㅋㅋㅋㅋ
04,3분할 각 떤냐!!!
04,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
04,아니 출근전에 방송이라니
04,이야..
05,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 막하 역시 막하는방송^^7
05,협상해야주
05,협테하나요?
05,3분할 ㅅㄱ
05,어케 맞추실꺼??
05,왜 힘들까 ㅋㅋㅋㅋ
05,호요리~~~
